token_mint,swap_events,transactions_est,signers_est,estimate_exceeds_events,volume_usd,priced_swap_events,avg_priced_event_usd,in_volume_top50,method
METAewgxyPbgwsseH8T16a39CQ5VyVxZi9zXiDPY18m,162515.0,163352.0,822.0,True,,,,False,all_events
METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL,731096.0,742545.0,7249.0,True,37869219.09066626,731096.0,51.79787482172828,True,all_events
NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,174808.0,170345.0,5993.0,False,,,,False,all_events
NgsodHAjoLZF5VC25euE1wBiZUgTVMHSErMRRKt74mA,647734.0,648296.0,117.0,True,,,,False,all_events
SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,1340654.0,1345816.0,6616.0,True,31667768.716192733,1035751.0,30.57469287134913,True,all_events
SPCXxcqXj6e5dJDVNovHN8744zkbhM2bYudU45BimGb,291945.0,284482.0,4022.0,False,,,,False,all_events
SarosY6Vscao718M4A778z4CGtvcwcGef5M9MEH1LGL,286704.0,280107.0,969.0,False,,,,False,all_events
So11111111111111111111111111111111111111112,160133434.0,153912777.0,6350869.0,False,76147021352.78624,160133434.0,475.52231567572727,True,all_events
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,15184601.0,15062058.0,218160.0,False,11607454479.85612,15184601.0,764.4227516979946,True,all_events
USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,546123.0,543568.0,20748.0,False,84692620.97663513,546123.0,155.07975488422045,True,all_events
USoRyaQjch6E18nCdDvWoRgTo6osQs9MUd8JXEsspWR,187036.0,192064.0,9547.0,True,,,,False,all_events
WETZjtprkDMCcUxPi9PfWnowMRZkiGGHDb9rABuRZ2U,201167.0,201365.0,2024.0,True,,,,False,all_events
Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ,,,,,20973869.47950961,114251.0,183.57711949575597,True,all_events
XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,246970.0,244096.0,2388.0,False,22979291.780975018,246970.0,93.04487095993449,True,all_events
Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,187414.0,187730.0,1634.0,True,19813782.34749352,187414.0,105.72199700926036,True,all_events
XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,164077.0,163812.0,1584.0,False,26874217.474505205,164077.0,163.79027818954032,True,all_events
XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,186577.0,184547.0,1768.0,False,35775102.437043004,186577.0,191.7444402956581,True,all_events
ZBCNpuD7YMXzTHB2fhGkGi78MNsHGLRXUhRewNRm9RU,142463.0,138171.0,4126.0,False,16965343.92915729,142463.0,119.0859656834216,True,all_events
a3W4qutoEJA4232T2gwZUfgYJTetr96pU4SJMwppump,674596.0,675498.0,5870.0,True,,,,False,all_events
bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,245039.0,240298.0,4784.0,False,18006502.106683634,245039.0,73.48422947646552,True,all_events
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,6054832.0,5921906.0,51491.0,False,1740072444.5427244,6054832.0,287.3857515027212,True,all_events
gLEXZ2kAfuYkpeeSzrEMbakiNeqAAZ3TsKiY9Can8pE,180913.0,180291.0,31193.0,False,,,,False,all_events
hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,208148.0,214975.0,24400.0,True,,,,False,all_events
jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,141508.0,146102.0,4474.0,True,15992076.300876062,141508.0,113.01181771261032,True,all_events
jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,345470.0,345606.0,7548.0,True,164449017.8665186,345470.0,476.01533524334553,True,all_events
kLqMvUm1p4pRbxU4r8kWCTVAuWMJLtcTJqGb4b5pump,246575.0,248420.0,5332.0,True,,,,False,all_events
kMKX8hBaj3BTRBbeYix9c16EieBP5dih8DTSSwCpump,215835.0,220429.0,1688.0,True,,,,False,all_events
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,1475892.0,1510721.0,28121.0,True,96016861.86113653,1475892.0,65.05683468786097,True,all_events
orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,370794.0,361557.0,3896.0,False,,,,False,all_events
oreoU2P8bN6jkk3jbaiVxYnG1dCXcYxwhwyK9jSybcp,149090.0,145724.0,2830.0,False,,,,False,all_events
pixvL7orpc8AfVUmeQ3kJZ588EegnXSQd7UW4TcVzDk,297073.0,300484.0,128076.0,True,,,,False,all_events
pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,4942161.0,4834285.0,242114.0,False,663645321.4170191,4942161.0,134.28241642006788,True,all_events
x95HN3DWvbfCBtTjGm587z8suK3ec6cwQwgZNLbWKyp,164393.0,164093.0,6219.0,False,,,,False,all_events
zBTCug3er3tLyffELcvDNrKkCymbPWysGcWihESYfLg,225615.0,227817.0,685.0,True,,,,False,all_events
